عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی,دسته_بازبینی
دادگاه قرار,205,183,action,قرار (0.81),واژه‌ی جدید,action
پرونده مشاوره,188,183,action,مشاوره (0.81),واژه‌ی جدید,action
هر چند,202,183,principle,فقط در صورت (0.59),واژه‌ی جدید,principle
تادیه,441,183,action,تقیید (0.63),واژه‌ی جدید,action
علیهذا,208,183,concept,سبب (0.54),واژه‌ی جدید,concept
طرفین به,205,183,role,اصحاب دعوی (0.68),واژه‌ی جدید,role
از زوج,259,183,concept,ازدواج (0.66),واژه‌ی جدید,concept
اعتباری دادنامه,186,183,object,ضمانت‌نامه (0.68),واژه‌ی جدید,object
مساحت,486,183,concept,ظرفیت (0.69),واژه‌ی جدید,concept
اعلام کرده,285,183,object,اعلامیه حراج (0.66),واژه‌ی جدید,object
توجهاً,214,183,principle,احتیاط (0.75),واژه‌ی جدید,principle
مخدوش,200,182,concept,تلف (0.70),واژه‌ی جدید,concept
کلیه خسارات,214,182,concept,خسارت (0.70),واژه‌ی جدید,concept
قیمت,473,182,object,هزینه (0.78),واژه‌ی جدید,object
مورد معامله,381,182,object,معامله (0.85),واژه‌ی جدید,object
بابت اصل,229,181,concept,اصیل (0.69),واژه‌ی جدید,concept
این استدلال,223,181,action,استدلال (0.82),واژه‌ی جدید,action
اعتراض به,220,181,action,اعتراض (0.94),alias پیشنهادی برای «اعتراض»,action
داوران,338,181,action,داوری (0.87),alias پیشنهادی برای «داوری»,action
حاکی از,215,181,object,شواهد (0.69),واژه‌ی جدید,object
جاری,220,181,object,هزینه‌های جاری (0.75),واژه‌ی جدید,object
خلع,486,181,action,خلع ید (0.74),واژه‌ی جدید,REMOVE
اضافه,261,181,object,تبصره (0.70),واژه‌ی جدید,object
مرحوم,702,181,concept,شخص (0.71),واژه‌ی جدید,concept
واگذار,291,181,action,واگذاری (0.91),alias پیشنهادی برای «واگذاری»,action
ضرر,292,180,concept,زیان (0.84),واژه‌ی جدید,REMOVE
ارائه شده,221,180,action,پیشنهاد (0.75),واژه‌ی جدید,action
از دادگاه,263,180,action,ورود به دادگاه (0.78),واژه‌ی جدید,action
در بخش,259,180,object,بخش‌نامه (0.68),واژه‌ی جدید,object
جزء,283,180,concept,جزيه (0.70),واژه‌ی جدید,REMOVE
رویه,280,180,principle,رویه قضائی (0.75),واژه‌ی جدید,principle
اعم از,221,180,principle,لحاظ (0.58),واژه‌ی جدید,principle
پایان,283,180,action,ايداع (0.70),واژه‌ی جدید,action
بند الف,230,180,object,تبصره (0.59),واژه‌ی جدید,object
به رأی,231,180,object,رأی (0.86),واژه‌ی جدید,object
قرار داده,225,180,action,قرار (0.71),واژه‌ی جدید,action
تهران در,196,180,concept,خارج از موضوع (0.60),واژه‌ی جدید,concept
از شقوق,179,179,concept,خارج از موضوع (0.58),واژه‌ی جدید,concept
چرا که,218,178,concept,علت (0.72),واژه‌ی جدید,concept
مدارک ابرازی,189,178,object,اظهارنامه (0.78),واژه‌ی جدید,object
دادگاه‌های عمومی,270,178,principle,حقوق عمومی (0.77),واژه‌ی جدید,principle
امکان سازش,485,177,action,سازش (0.81),واژه‌ی جدید,action
در شعبه,240,177,object,شعبه دادگاه (0.73),واژه‌ی جدید,object
طی لایحه,274,177,object,لایحه (0.84),واژه‌ی جدید,object
سی,311,177,role,پیک (0.59),واژه‌ی جدید,REMOVE
شورای,299,177,role,شورای حل اختلاف (0.75),واژه‌ی جدید,role
احتساب خسارات,209,177,object,هزینه خسارت (0.78),واژه‌ی جدید,object
نامه شماره,274,177,object,شماره پرونده (0.76),واژه‌ی جدید,object
دعوی خانم,183,176,concept,دعوی (0.84),واژه‌ی جدید,concept
حالی,224,176,concept,احوال (0.65),واژه‌ی جدید,REMOVE
اعلامی,225,176,object,اعلامیه حراج (0.75),واژه‌ی جدید,object
مستلزم,212,176,concept,لازمه (0.73),واژه‌ی جدید,concept
دعاوی,281,176,action,فصل دعاوی (0.79),واژه‌ی جدید,action
دادرسی دادگاه,216,176,concept,دادرسی (0.87),واژه‌ی جدید,concept
نظر در,183,176,role,صاحب‌نظر (0.76),واژه‌ی جدید,REMOVE
اینکه به,192,176,principle,طبق قانون (0.64),واژه‌ی جدید,principle
مراتب مذکور,190,176,principle,لحاظ (0.61),واژه‌ی جدید,principle
که وکیل,209,175,role,وکیل (0.81),واژه‌ی جدید,role
استماع اظهارات,214,175,object,اظهارنامه (0.71),واژه‌ی جدید,object
قسمت از,254,175,concept,شخص (0.64),واژه‌ی جدید,concept
دادن,223,175,action,بذل (0.72),واژه‌ی جدید,action
سابقه,319,175,concept,سابقه حقوقی (0.87),alias پیشنهادی برای «سابقه حقوقی»,concept
صریح,215,175,concept,صراحت (0.85),واژه‌ی جدید,concept
مسکن,358,175,object,بنیاد مسکن (0.75),واژه‌ی جدید,object
خوانده از,203,175,object,موصى به (0.62),واژه‌ی جدید,object
آن وارد,178,175,action,واردات (0.65),واژه‌ی جدید,action
به نظریه,225,174,concept,نظریه مشورتی (0.67),واژه‌ی جدید,concept
مقتضی,215,174,concept,معوض (0.68),واژه‌ی جدید,concept
که حسب,209,174,principle,طبق قانون (0.75),واژه‌ی جدید,principle
دادگاه پس,202,174,concept,پروسه دادرسی (0.64),واژه‌ی جدید,concept
حمایت خانواده,258,174,object,قانون حمایتی (0.76),واژه‌ی جدید,object
با احراز,192,174,principle,طبق قانون (0.75),واژه‌ی جدید,principle
بابت هزینه,213,174,object,هزینه (0.82),واژه‌ی جدید,object
قسمتی از,227,174,object,یادداشت (0.66),واژه‌ی جدید,object
لزوم,222,174,concept,لازمه (0.77),واژه‌ی جدید,concept
اعتراض معترض,175,174,action,اعتراض (0.91),alias پیشنهادی برای «اعتراض»,action
اجمالاً,258,174,action,جمع‌بندی (0.64),واژه‌ی جدید,action
قانونی صادر,178,173,principle,قانونی (0.84),واژه‌ی جدید,principle
خالی,181,173,concept,باطل (0.63),واژه‌ی جدید,concept
متر,419,173,principle,معیار (0.63),واژه‌ی جدید,REMOVE
مدعی است,202,173,role,مدعی (0.83),واژه‌ی جدید,role
قانونی است,204,172,concept,قانونی بودن (0.89),alias پیشنهادی برای «قانونی بودن»,concept
در مرحله,215,172,action,طی روند دادرسی (0.70),واژه‌ی جدید,action
علی هذا,194,172,principle,طبق قانون (0.63),واژه‌ی جدید,principle
رغم,204,172,principle,لحاظ (0.63),واژه‌ی جدید,REMOVE
توجهاً به,197,172,principle,احتیاط (0.73),واژه‌ی جدید,principle
جلسه دادگاه,231,172,action,ورود به دادگاه (0.82),واژه‌ی جدید,action
ضمیمه,276,171,action,ضم (0.81),واژه‌ی جدید,action
دادرسی صادر,180,171,concept,دادرسی (0.81),واژه‌ی جدید,concept
خودش,272,171,concept,شخص (0.72),واژه‌ی جدید,concept
فیمابین,244,171,object,عقار (0.54),واژه‌ی جدید,object
مستند به,235,171,object,مستندات (0.74),واژه‌ی جدید,object
در حالی,219,171,action,طی روند دادرسی (0.70),واژه‌ی جدید,REMOVE
از نظر,207,171,principle,لحاظ (0.72),واژه‌ی جدید,REMOVE
به همین,189,171,concept,علت (0.65),واژه‌ی جدید,concept
یک دستگاه,285,171,concept,شخص (0.69),واژه‌ی جدید,concept
گذشته,233,171,concept,سابقه حقوقی (0.68),واژه‌ی جدید,concept
ممکن,216,170,concept,مظنه (0.69),واژه‌ی جدید,concept
مدافعات,212,170,action,دفاع (0.81),واژه‌ی جدید,action
المثل ایام,353,170,concept,اجرت المثل (0.68),واژه‌ی جدید,concept
بنابراین دادگاه,181,170,concept,نظر دادگاه (0.68),واژه‌ی جدید,concept
قانونی در,197,170,principle,قانونی (0.87),alias پیشنهادی برای «قانونی»,principle
اساسی,194,170,object,قانون اساسی (0.69),واژه‌ی جدید,object
اصول دادرسی,171,170,concept,دادرسی (0.78),واژه‌ی جدید,concept
در مقابل,191,170,concept,لامقابل (0.69),واژه‌ی جدید,concept
واعلام,196,169,action,استعلام (0.75),واژه‌ی جدید,action
بیان داشته,253,169,concept,صراحت (0.68),واژه‌ی جدید,concept
جانب,234,169,role,بی‌طرف (0.69),واژه‌ی جدید,role
پرونده،,181,169,object,پرونده (0.85),واژه‌ی جدید,object
فعلی,236,169,action,وضع (0.64),واژه‌ی جدید,action
به طور,212,169,principle,طبق قانون (0.73),واژه‌ی جدید,principle
بندهای,204,169,action,وضع قید (0.61),واژه‌ی جدید,action
واخواهی در,178,169,action,واخواست (0.75),واژه‌ی جدید,action
ارجاع می,229,169,action,ارجاع (0.89),alias پیشنهادی برای «ارجاع»,action
دست,279,169,action,پیش‌دستی (0.66),واژه‌ی جدید,REMOVE
خواهی آقای,184,169,object,طلب (0.70),واژه‌ی جدید,object
توان,216,169,concept,ظرفیت (0.70),واژه‌ی جدید,concept
هرچند,212,169,principle,فقط در صورتی که (0.59),واژه‌ی جدید,principle
پرونده صادر,171,169,object,پرونده (0.80),واژه‌ی جدید,object
شرح خواسته,192,168,object,طلب (0.69),واژه‌ی جدید,object
تبادل,209,168,object,معاوضه (0.72),واژه‌ی جدید,object
اظهار داشت,384,168,concept,صراحت (0.69),واژه‌ی جدید,concept
هزار تومان,354,168,object,واحد پول (0.67),واژه‌ی جدید,object
نمودند,249,168,action,تصرف (0.60),واژه‌ی جدید,action
به مدت,239,168,concept,بذل مدت (0.71),واژه‌ی جدید,concept
نقض آن,183,168,action,نقض (0.89),alias پیشنهادی برای «نقض»,action
پرداخت خسارت,237,168,action,جبران خسارت (0.90),alias پیشنهادی برای «جبران خسارت»,action
شروع,271,168,object,کمک (0.71),واژه‌ی جدید,object
در دفترخانه,311,168,object,دفترخانه (0.85),واژه‌ی جدید,object
دادرسی دادگاه‌های,250,168,concept,دادرسی (0.83),واژه‌ی جدید,concept
دادسرای,401,167,concept,دادرسی (0.81),واژه‌ی جدید,concept
نظریه کارشناس,244,167,concept,نظریه کارشناسی (0.83),واژه‌ی جدید,concept
همگی,254,167,object,هفتگی (0.61),واژه‌ی جدید,object
حاصله,201,167,concept,ضایعه (0.62),واژه‌ی جدید,concept
تعیین شده,230,167,concept,حق تعیین (0.71),واژه‌ی جدید,concept
وجاهت,189,167,role,ذوالوجاهة (0.70),واژه‌ی جدید,role
تکرار,268,167,action,یادآوری (0.71),واژه‌ی جدید,action
متعهد,301,167,role,متعهدله (0.86),واژه‌ی جدید,role
اتخاذ,216,167,object,تصمیم (0.79),واژه‌ی جدید,object
دلیل یا,167,167,concept,سبب (0.76),واژه‌ی جدید,concept
کسی,255,167,concept,شخص (0.67),واژه‌ی جدید,REMOVE
است وارد,168,167,object,رسید (0.69),واژه‌ی جدید,object
تمامی,208,166,concept,کامل (0.71),واژه‌ی جدید,concept
مشترک را,231,166,role,شریک (0.71),واژه‌ی جدید,role
خوانده با,182,166,action,گرفتن (0.60),واژه‌ی جدید,action
با نقض,199,166,action,نقض (0.86),واژه‌ی جدید,action
شروط,388,166,concept,شرط (0.87),واژه‌ی جدید,concept
یافته است,185,166,action,یافتن (0.75),واژه‌ی جدید,action
درخصوص دعوی,183,166,action,اقامه دعوی (0.86),واژه‌ی جدید,action
داور,642,166,action,داوری (0.85),واژه‌ی جدید,action
به داوری,198,166,action,داوری (0.83),واژه‌ی جدید,action
به آقای,262,166,action,استعلام (0.71),واژه‌ی جدید,action
آورد,179,166,object,رسید (0.66),واژه‌ی جدید,object
دادنامه را,171,166,concept,دادرسی (0.72),واژه‌ی جدید,concept
بیش,226,166,concept,بیشینه مجازات (0.62),واژه‌ی جدید,REMOVE
موکله,506,165,action,محاکمه (0.72),واژه‌ی جدید,action
نحوی,182,165,action,خوداظهاری (0.61),واژه‌ی جدید,action
خرید,263,165,role,خریدار (0.86),واژه‌ی جدید,role
مستفاد,182,165,action,مأخوذ (0.71),واژه‌ی جدید,action
دوم دادگاه,275,165,action,تجدید دادرسی (0.67),واژه‌ی جدید,action
هیچ گونه,212,165,concept,نبود صلاحیت (0.62),واژه‌ی جدید,concept
عدد,399,164,concept,عده (0.78),واژه‌ی جدید,REMOVE
ندارم,307,164,action,انکار (0.66),واژه‌ی جدید,action
در وقت,267,164,principle,طبق قانون (0.72),واژه‌ی جدید,principle
به نحو,194,164,principle,طبق قانون (0.74),واژه‌ی جدید,principle
را ندارد,188,164,concept,نبود صلاحیت (0.67),واژه‌ی جدید,REMOVE
عادی مورخ,240,164,concept,شخص طبیعی (0.59),واژه‌ی جدید,concept
از پلاک,285,164,object,پلاک (0.86),واژه‌ی جدید,object
ارزش,331,163,principle,معیار (0.65),واژه‌ی جدید,principle
نظریه کتبی,190,163,concept,نظریه مشورتی (0.74),واژه‌ی جدید,concept
دفاعیه,190,163,object,دفاعیات (0.89),alias پیشنهادی برای «دفاعیات»,object
رسیدگی در,184,163,action,رسیدگی (0.91),alias پیشنهادی برای «رسیدگی»,action
بر بی,201,163,object,برات (0.60),واژه‌ی جدید,object
که نقض,167,163,action,نقض (0.83),واژه‌ی جدید,action
داده شده,191,163,action,پرداخت (0.66),واژه‌ی جدید,REMOVE
دایر بر,205,163,role,مباشر (0.62),واژه‌ی جدید,role
به عقد,214,163,concept,عقد (0.82),واژه‌ی جدید,concept
منتخب,230,162,concept,حق انتخاب (0.70),واژه‌ی جدید,concept
تشکیل جلسه,247,162,object,جلسه (0.89),alias پیشنهادی برای «جلسه»,object
ابراز ننموده,163,162,action,انکار (0.65),واژه‌ی جدید,action
این رو,205,162,object,موصى به (0.60),واژه‌ی جدید,object
را غیر,166,162,concept,غیرمستقل (0.68),واژه‌ی جدید,concept
سکونت,276,162,concept,حق سکنی (0.76),واژه‌ی جدید,concept
الی,253,162,role,ولی (0.64),واژه‌ی جدید,REMOVE
قانون مذکور,187,162,action,طی ماده قانونی (0.72),واژه‌ی جدید,action
استوار می,164,162,principle,ثبات (0.64),واژه‌ی جدید,principle
تجدیدنظر خواه,316,162,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
از جهت,202,162,principle,لحاظ (0.75),واژه‌ی جدید,REMOVE
مستندات ابرازی,185,162,object,مستندات (0.76),واژه‌ی جدید,object
فوت,432,162,concept,موت (0.78),واژه‌ی جدید,REMOVE
علیرغم,202,161,principle,طبق قانون (0.61),واژه‌ی جدید,principle
چنین رای,173,161,object,رأی (0.72),واژه‌ی جدید,object
به اتهام,287,161,role,متهم (0.77),واژه‌ی جدید,role
رسد,183,161,object,رسید (0.85),واژه‌ی جدید,REMOVE
بطرفیت خانم,186,161,principle,بی‌طرفی (0.67),واژه‌ی جدید,principle
تائید,230,161,action,تأیید (0.94),alias پیشنهادی برای «تأیید»,action
به مفاد,173,161,role,ذی‌نفع (0.71),واژه‌ی جدید,role
حسن,217,160,concept,نفس (0.55),واژه‌ی جدید,REMOVE
خوانده دعوی,234,160,concept,دعوی (0.79),واژه‌ی جدید,concept
آنجا,216,160,object,محل (0.58),واژه‌ی جدید,object
گذشت,210,160,action,گذراندن (0.73),واژه‌ی جدید,action
جدید,267,160,role,مباشر (0.67),واژه‌ی جدید,role
از خوانده,184,160,role,مخاطب (0.61),واژه‌ی جدید,role
به مندرجات,163,160,principle,لحاظ (0.66),واژه‌ی جدید,principle
رای می,180,159,object,رأی (0.79),واژه‌ی جدید,object
موضوع را,190,159,concept,خارج از موضوع (0.70),واژه‌ی جدید,concept
دادگاه از,173,159,concept,نظر دادگاه (0.73),واژه‌ی جدید,concept
وقت رسیدگی,225,159,action,رسیدگی (0.82),واژه‌ی جدید,action
واقعی,240,159,concept,شخصیت حقیقی (0.72),واژه‌ی جدید,concept
روابط,214,159,concept,رابطه خانوادگی (0.75),واژه‌ی جدید,concept
شود که,197,159,action,حصول (0.63),واژه‌ی جدید,action
اقدام نماید,193,158,action,تصرف (0.72),واژه‌ی جدید,action
اظهارنظر,224,158,role,صاحب‌نظر (0.76),واژه‌ی جدید,role
مارالذکر,169,158,action,یادآوری (0.54),واژه‌ی جدید,action
که متضمن,177,158,role,مضمون (0.64),واژه‌ی جدید,role
مرکزی,226,158,concept,سب (0.63),واژه‌ی جدید,concept
مصادیق,220,158,concept,استحقاق (0.65),واژه‌ی جدید,concept
اساساً,192,158,principle,لحاظ (0.63),واژه‌ی جدید,principle
خالی از,162,158,action,عدم حضور (0.64),واژه‌ی جدید,action
درخصوص دادخواست,170,157,object,دادخواست (0.87),واژه‌ی جدید,object
تجدیدنظرخواهی با,158,157,concept,تجدیدنظر (0.85),واژه‌ی جدید,concept
که مورد,180,157,object,قضیه (0.64),واژه‌ی جدید,object
شناسنامه,486,157,object,گذرنامه (0.79),واژه‌ی جدید,object
صحت تشخیص,164,157,concept,صحت انتساب (0.71),واژه‌ی جدید,concept
داشتن,209,156,action,گرفتن (0.73),واژه‌ی جدید,action
نیست زیرا,181,156,action,عدم حضور (0.63),واژه‌ی جدید,action
رونوشت,195,156,object,یادداشت (0.59),واژه‌ی جدید,object
استماع دعوی,223,156,action,اقامه دعوی (0.81),واژه‌ی جدید,action
منجر,187,156,concept,سبب (0.64),واژه‌ی جدید,concept
درج,225,156,action,ثبت (0.74),واژه‌ی جدید,REMOVE
بیش از,213,156,concept,عده (0.62),واژه‌ی جدید,concept
طلاق به,271,156,concept,طلاق (0.86),واژه‌ی جدید,concept
انعقاد,252,155,concept,توافق (0.66),واژه‌ی جدید,concept
جلب نظر,198,155,action,جلب (0.81),واژه‌ی جدید,action
حال حاضر,193,155,role,مباشر (0.66),واژه‌ی جدید,role
در دیوان,203,155,concept,وضعیت دیوان‌سالاری (0.67),واژه‌ی جدید,concept
نماید رای,167,155,object,رأی (0.80),واژه‌ی جدید,object
وفق مقررات,167,155,principle,طبق قانون (0.86),واژه‌ی جدید,principle
بر مبنای,198,155,principle,طبق قانون (0.77),واژه‌ی جدید,principle
از جانب,212,155,principle,طبق قانون (0.69),واژه‌ی جدید,principle
شامل,213,155,principle,شمول (0.69),واژه‌ی جدید,principle
مرکز,282,155,object,محل (0.65),واژه‌ی جدید,object
مطروحه را,170,155,object,موصى به (0.58),واژه‌ی جدید,object
به پلاک,225,155,object,پلاک (0.84),واژه‌ی جدید,object
تجدیدنظرخواه را,163,155,concept,تجدیدنظر (0.83),واژه‌ی جدید,concept
شخصی,218,155,concept,شخص (0.85),واژه‌ی جدید,concept
به زوج,225,154,concept,ازدواج (0.64),واژه‌ی جدید,concept
شعبه سوم,264,154,object,شعبه دادگاه (0.69),واژه‌ی جدید,object
دادیار,220,154,concept,دادرسی (0.77),واژه‌ی جدید,concept
به مساحت,263,154,concept,ظرفیت (0.65),واژه‌ی جدید,concept
کنند,196,154,concept,عده (0.64),واژه‌ی جدید,REMOVE
بر الزام,183,154,action,الزام (0.83),واژه‌ی جدید,action
سازمان,534,153,role,سازمان‌های بین‌المللی (0.74),واژه‌ی جدید,role
سند ازدواج,231,153,object,سند مالکیت (0.73),واژه‌ی جدید,object
معین,212,153,object,عین (0.67),واژه‌ی جدید,object
تایید می,159,153,action,تأیید (0.87),alias پیشنهادی برای «تأیید»,action
پنجم,270,153,concept,خمس (0.82),واژه‌ی جدید,concept
منعقد,202,153,concept,عقد (0.68),واژه‌ی جدید,concept
سر,265,153,role,صاحب‌حق (0.64),واژه‌ی جدید,REMOVE
حضوری بوده,155,153,action,عدم حضور (0.72),واژه‌ی جدید,action
دادنامه موصوف,164,153,role,متهم (0.71),واژه‌ی جدید,role
کردم,304,153,role,قیم (0.57),واژه‌ی جدید,role
از عدم,193,152,action,عدم حضور (0.70),واژه‌ی جدید,action
تأخیر تأدیه,346,152,concept,تأخیر (0.86),واژه‌ی جدید,concept
مسترد,196,152,action,انکار (0.78),واژه‌ی جدید,action
حقی خواهان,174,152,concept,حق (0.71),واژه‌ی جدید,concept
ازدواج شماره,208,152,concept,ازدواج (0.77),واژه‌ی جدید,concept
علم,273,152,concept,دین (0.68),واژه‌ی جدید,concept
راستای,188,151,concept,جهت‌گیری (0.69),واژه‌ی جدید,concept
می داند,169,151,concept,عرف (0.67),واژه‌ی جدید,concept
زیر,195,151,action,زیرنظر (0.68),واژه‌ی جدید,REMOVE
ای که,203,151,role,صاحب‌حق (0.57),واژه‌ی جدید,role
بخشی,191,151,object,بخش‌نامه (0.69),واژه‌ی جدید,object
به عهده,191,151,concept,ذمه (0.70),واژه‌ی جدید,concept
می‌دارد,199,151,concept,مظنه (0.62),واژه‌ی جدید,REMOVE
استدلال که,175,150,action,استدلال (0.82),واژه‌ی جدید,action
مشارالیها,208,150,concept,مصاهره (0.59),واژه‌ی جدید,concept
قطع,180,150,concept,منقطع (0.76),واژه‌ی جدید,REMOVE
خواهان محکوم,160,150,role,محکوم‌علیه (0.84),واژه‌ی جدید,role
حسین,174,150,object,عین (0.55),واژه‌ی جدید,object
منجر به,180,150,concept,سبب (0.76),واژه‌ی جدید,concept
شرح لایحه,180,150,object,لایحه (0.81),واژه‌ی جدید,object
نماید رأی,165,150,object,رأی (0.84),واژه‌ی جدید,object
متعاقب,169,149,action,تعقیب (0.69),واژه‌ی جدید,action
خسارت تأخیر,324,149,concept,تأخیر (0.84),واژه‌ی جدید,concept
شده اند,198,149,concept,عده (0.64),واژه‌ی جدید,REMOVE
در متن,178,149,concept,خارج از موضوع (0.73),واژه‌ی جدید,concept
پرونده از,160,149,object,پرونده (0.85),واژه‌ی جدید,object
مدنی ضمن,160,149,concept,احوال مدنی (0.75),واژه‌ی جدید,concept
بنده,371,148,concept,شخص (0.64),واژه‌ی جدید,concept
مجدد به,169,148,concept,دعوی مجدد (0.71),واژه‌ی جدید,concept
مدلول,171,148,object,ادله (0.65),واژه‌ی جدید,object
در راستای,185,148,principle,طبق قانون (0.75),واژه‌ی جدید,principle
با هیچ,149,148,concept,بی‌دلیل (0.65),واژه‌ی جدید,concept
تعلق,200,148,concept,رابطه حقوقی (0.72),واژه‌ی جدید,concept
شایسته,166,148,principle,شایسته‌سالاری (0.74),واژه‌ی جدید,principle
کردن,195,148,action,تصرف (0.67),واژه‌ی جدید,action
مجدداً,205,148,action,تجدید دادرسی (0.70),واژه‌ی جدید,action
علی رغم,170,148,principle,طبق قانون (0.62),واژه‌ی جدید,principle
علقه,167,148,concept,نفقه (0.75),واژه‌ی جدید,concept
حضوری ظرف,149,147,action,عدم حضور (0.67),واژه‌ی جدید,action
مسکونی,242,147,concept,حق سکنی (0.59),واژه‌ی جدید,concept
صیغه طلاق,364,147,concept,طلاق (0.77),واژه‌ی جدید,concept
زوج از,225,147,concept,ازدواج (0.64),واژه‌ی جدید,concept
دادنامه مورد,168,147,object,دادخواست (0.73),واژه‌ی جدید,object
از موارد,204,147,concept,خارج از موضوع (0.66),واژه‌ی جدید,concept
به انجام,192,147,concept,وفاء به عهد (0.68),واژه‌ی جدید,concept
مراتب دادگاه,150,147,action,سازمان‌دهی دادگاه‌ها (0.67),واژه‌ی جدید,action
صورتجلسه,223,146,object,صورت‌جلسه تفکیکی (0.81),واژه‌ی جدید,object
مواجه,165,146,role,مخاطب (0.67),واژه‌ی جدید,role
که زوج,221,146,concept,ازدواج (0.64),واژه‌ی جدید,concept
شهادت شهود,247,146,object,شهادت کتبی (0.79),واژه‌ی جدید,object
به اثبات,181,146,concept,ثبوت (0.83),واژه‌ی جدید,concept
با وجود,176,146,principle,طبق قانون (0.68),واژه‌ی جدید,principle
اش,281,146,concept,ارش (0.75),واژه‌ی جدید,REMOVE
نامه عادی,255,146,action,طی نامه (0.72),واژه‌ی جدید,action
دفاعی,158,146,action,دفاع (0.92),alias پیشنهادی برای «دفاع»,action
او را,262,146,role,موصی له (0.65),واژه‌ی جدید,REMOVE
نفع,186,145,role,ذی‌نفع (0.79),واژه‌ی جدید,REMOVE
بهار,376,145,concept,فصل مشترک (0.60),واژه‌ی جدید,concept
خواهی نموده,176,145,concept,تمایل (0.68),واژه‌ی جدید,concept
جلسه مورخ,182,145,object,جلسه (0.84),واژه‌ی جدید,object
صادره در,165,145,action,صادر کردن گواهی (0.71),واژه‌ی جدید,action
بدین شرح,161,145,principle,طبق قانون (0.61),واژه‌ی جدید,principle
اصحاب,193,145,role,اصحاب دعوی (0.70),واژه‌ی جدید,role
بایستی,184,145,concept,لازمه (0.70),واژه‌ی جدید,concept
اینکه زوجه,187,145,concept,نفقه (0.63),واژه‌ی جدید,concept
فروخته,216,144,concept,خرید و فروش (0.71),واژه‌ی جدید,concept
منتفی,183,144,action,نفی (0.86),واژه‌ی جدید,action
اجرای صیغه,338,144,concept,صیغه (0.89),alias پیشنهادی برای «صیغه»,concept
صورت جلسه,220,144,object,صورت‌جلسه تفکیکی (0.84),واژه‌ی جدید,object
نمی گردد,167,144,concept,ناتوانی (0.62),واژه‌ی جدید,REMOVE
اظهارات وکیل,163,144,role,وکیل (0.76),واژه‌ی جدید,role
اینکه حسب,157,144,principle,طبق قانون (0.79),واژه‌ی جدید,principle
محکمه محترم,150,144,object,محکمه (0.80),واژه‌ی جدید,object
صادر واعلام,165,143,action,صادر کردن گواهی (0.69),واژه‌ی جدید,action
هیات شعبه,158,143,role,هیات (0.77),واژه‌ی جدید,role
به دعوی,189,143,concept,دعوی (0.84),واژه‌ی جدید,concept
توجیه,153,143,object,دلایل توجیهی (0.86),واژه‌ی جدید,object
از طرفین,186,143,action,طی تفاهم (0.70),واژه‌ی جدید,action
تعداد,259,143,concept,عده (0.77),واژه‌ی جدید,concept
از مصادیق,183,143,object,شواهد (0.64),واژه‌ی جدید,object
حکم طلاق,238,143,concept,طلاق (0.82),واژه‌ی جدید,concept
مصوب سال,191,143,object,تصویب‌نامه (0.74),واژه‌ی جدید,object
وظایف,200,143,concept,وظایف حقوقی (0.82),واژه‌ی جدید,concept
زوجه با,192,143,action,مرافقه (0.64),واژه‌ی جدید,action
طول,196,142,concept,حد (0.64),واژه‌ی جدید,REMOVE
پاسخ استعلام,171,142,action,استعلام (0.87),alias پیشنهادی برای «استعلام»,action
مستفاد از,156,142,principle,لحاظ (0.61),واژه‌ی جدید,principle
تعیین وقت,189,142,concept,زمان اجرا (0.74),واژه‌ی جدید,concept
گرفت,204,142,action,گرفتن (0.79),واژه‌ی جدید,action
یک باب,235,142,object,مباحات (0.63),واژه‌ی جدید,object
طرفیت آقایان,168,142,concept,تمایل (0.59),واژه‌ی جدید,concept
مطالبه وجه,221,142,concept,وجه ملزم (0.73),واژه‌ی جدید,concept
شش دانگ,260,142,concept,خمس (0.54),واژه‌ی جدید,concept
واجد,172,141,role,واهب (0.67),واژه‌ی جدید,role
اقدامی,154,141,concept,فعل مجرمانه (0.58),واژه‌ی جدید,concept
را پرداخت,196,141,action,پرداخت (0.82),واژه‌ی جدید,action
نخواهد بود,164,141,concept,غیرممکن (0.64),واژه‌ی جدید,concept
غیر وارد,156,141,concept,غیرمستند (0.78),واژه‌ی جدید,concept
از جهات,147,141,principle,لحاظ (0.70),واژه‌ی جدید,principle
را نداشته,167,141,concept,نبود صلاحیت (0.71),واژه‌ی جدید,concept
هیئت شعبه,146,141,object,شعبه دادگاه (0.74),واژه‌ی جدید,object
به حکم,182,141,object,حکم (0.76),واژه‌ی جدید,object
آزادی,335,141,concept,حریت (0.81),واژه‌ی جدید,concept
ادامه زندگی,234,141,concept,حق زندگی (0.64),واژه‌ی جدید,concept
منتهی,174,141,concept,منقطع (0.72),واژه‌ی جدید,concept
وکالت آقایان,176,141,concept,وکالت (0.73),واژه‌ی جدید,concept
دادخواست خانم,146,141,object,دادخواست (0.86),واژه‌ی جدید,object
هفت,205,141,object,هفتگی (0.68),واژه‌ی جدید,REMOVE
تا زمان,202,141,concept,زمان اجرا (0.65),واژه‌ی جدید,concept
را تایید,158,140,action,تأیید (0.86),واژه‌ی جدید,action
به هنگام,156,140,principle,طبق قانون (0.65),واژه‌ی جدید,principle
